Lap*,Driver,Message
VL,To Lewis Hamilton,"Well done Lewis mate P2. Tough day in the office but great drive, really strong last part. HPP eight to thirteen. Strat mode 12. And start 13 now."
,,
VL,From Lewis Hamilton,Lost power.
VL,To Lewis Hamilton,Yep just hit the bottom of the pack. That’s no problem.
,,
VL,To Kimi Raikkonen,"Good job Kimi. Your pace today deserved you a much better result than you got. Lap mode Safety Car In, Kimi."
,,
VL,To Felipe Massa,"Well done mate that was a good drive, thank you, a lot of points for the team."
,,
VL,From Felipe Massa,Thank you very much.
VL,To Pascal Wehrlein,"Good job Pascal. Great race, P11 at the end. Unfortuantely we missed the points but good race. We need Safety Car fuel-save. And slow in for brakes, pick up rubber."
,,
VL,From Pascal Wehrlein,Good job.
VL,To Pascal Wehrlein,"Yeah good fight at the end, Pascal, great job. Vettel won, Hamilton second, Bottas third, Raikkonen then Ricciardo, Massa, Perez, Grosjean, Hulkenberg and Ocon P10."
,,
VL,To Romain Grosjean,"Chequered flag Romain. P8, back in the points."
,,
VL,From Romain Grosjean,"Good job everyone, it’s good to be back in the points. Shame about the Safety Car, wrong timing, but I think Perez was a bit faster in the end. Good job everyone."
VL,To Romain Grosjean,"Good drive, nice overtaking."
,,
VL,To Jolyon Palmer,"OK Jo tough race today. Finishing order Vettel, Hamilton, Bottas, Raikkonen, Ricciardo, Massa, Perez, Grosjean, Nico, Esteban, Wehrlein, Kvyat, yourself. Don’t forget to go to P0 in parc ferme please."
,,
VL,From Jolyon Palmer,"Yep, will do."
VL,From Sebastian Vettel,"Grazie ragazzi! Buon compleanno, Andrea!"
